action,J_mean,J_last_mean
split,0.7384124999999999,0.635291
trim,0.777805,0.794361
cut,0.4643241500000001,0.3193407166666668
peel,0.71182825,0.669850875
knead,0.470658,0.7700575
close,0.8221890000000001,0.9445815
open,0.592973,0.5877195
clean,0.890434,0.731425
paint,0.39329349999999996,0.13713675
tear,0.851188,0.727233
spread,0.6273230000000001,0.651162
unscrew,0.7775829999999999,0.779909
break,0.3536866249999999,0.19155300000000003
unpack,0.681145,0.707295
squeeze,0.8346006666666667,0.7857966666666666
fold,0.106393,0.116997
pour,0.072207,0.006645
divide,0.34645800000000004,0.23069499999999998
apply,0.050879,0.003656
roll,0.643845,0.549796
