action,J_mean,J_last_mean
knead,0.32299999999999995,0.743
trim,0.6753333333333332,0.395
open,0.332,0.1675
paint,0.38250000000000006,0.07575
split,0.7030000000000001,0.7525
cut,0.37421666666666664,0.20298333333333338
peel,0.47575,0.24924999999999997
close,0.495,0.318
clean,0.907,0.839
spread,0.3205,0.242
tear,0.193,0.308
unscrew,0.47250000000000003,0.43
break,0.3635,0.17125
unpack,0.777,0.822
squeeze,0.8256666666666667,0.7776666666666667
fold,0.112,0.093
pour,0.646,0.326
divide,0.2585,0.07675
apply,0.093,0.0
roll,0.556,0.2965
