action,J_mean,J_last_mean
knead,0.306,0.772
trim,0.6863333333333332,0.45999999999999996
open,0.34299999999999997,0.1755
paint,0.23975000000000002,0.049999999999999996
split,0.593,0.5765
cut,0.39359999999999995,0.19765000000000005
peel,0.578125,0.4585
close,0.4295,0.1405
clean,0.923,0.816
spread,0.3755,0.242
tear,0.191,0.308
unscrew,0.17049999999999998,0.1295
break,0.22874999999999995,0.11575000000000002
unpack,0.759,0.827
squeeze,0.8353333333333333,0.7773333333333333
fold,0.11,0.08
pour,0.682,0.395
divide,0.197625,0.023
apply,0.084,0.0
roll,0.5760000000000001,0.3565
