Video Id,Video Name ,颜色,形状,位置,状态,视频质量
1,mv_cola_1,0,0,1,0,0
2,mv_cola_2,0,0,1,0,0
3,mv_cola_3,0,0,1,0,0
4,mv_energy_1,0,0,1,0,0
5,mv_energy_2,0,0,1,0,0
6,mv_lime_1,0,0,1,0,0
7,mv_lime_2,0,0,1,0,0
8,mv_mark_1,0,0,1,0,0
9,open_cup_1,0,0,1,0,0
10,open_cup_2,0,0,1,0,0
11,open_cup_3,0,0,1,0,0
12,mv_cup_4,0,0,1,0,0
13,mv_cup_5,0,0,1,0,0
14,open_cup_6,0,0,1,0,0
15,open_cup_7,0,0,1,0,0
16,open_redpen_1,0,0,1,0,0
17,mv_redpen_2,0,0,1,0,0
18,mv_redpen_3,0,0,1,0,0
19,use_measure_1,0,0,1,0,0
20,use_measure_2,0,0,1,0,0
21,use_measure_3,0,0,1,0,0
22,open_pen_4,0,0,1,0,0
23,open_mark_2,0,0,1,0,0
24,cut_blueberry_1,0,1,0,0,0
25,mv_brocolli_1,0,0,1,0,0
26,cut_brocolli_2,0,0,1,1,0
27,break_brocolli_3,0,0,1,1,0
28,break_brocolli_4,0,0,1,1,0
29,cut&break_brocolli_5,0,0,1,1,0
30,cut_brocolli_6,0,0,1,1,0
31,cut_brocolli_7,0,0,1,1,0
32,mv_brocolli_8,0,0,1,1,0
33,break_egg_1,0,0,1,0,0
34,mv_egg_2,0,0,1,0,0
35,break_egg_3,0,0,1,0,0
36,mv_egg_4,0,0,1,0,0
37,tear_pepper_1,0,0,1,0,0
38,mv_pepper_2,0,0,1,0,0
39,mv_pepper_3,0,0,1,0,0
40,tear_pepper_4,0,0,1,0,0
41,cut_pepper_5,0,0,1,0,0
42,cut_pepper_6,0,0,1,0,0
43,tear_green_pepper_1,0,0,1,0,0
44,cut_green_pepper_2,0,0,1,0,0
45,cut_green_pepper_3,0,0,1,0,0
46,cut_green_pepper_4,0,0,1,0,0
47,mv_green_pepper_5,0,0,1,0,0
48,tear_green_pepper_6,0,0,1,0,0
