Video Id,Video Name ,颜色,形状,位置,状态,视频质量,相似干扰,遮挡,长视频,透明物体,小物体
1,mv_cola_1,,,,,,,,,,,
2,mv_cola_2,,,,,,,,,,,
3,mv_cola_3,,,,,,,,,,,
4,mv_energy_1,,,,,,,,,,,
5,mv_energy_2,,,,,,,,,,,
6,mv_lime_1,,,,,,,,,,,
7,mv_lime_2,,,,,,,,,,,
8,mv_mark_1,,,,,,,,,,,
9,open_cup_1,0,0,0,0,0,1,0,0,0,0
10,open_cup_2,0,1,1,0,0,1,0,0,0,0
11,open_cup_3,0,0,0,0,0,1,1,0,0,0
12,mv_cup_4,0,0,1,0,0,2,0,0,0,0
13,mv_cup_5,,,,,,,,,,,
14,open_cup_6,0,1,0,0,0,1,1,0,0,0
15,open_cup_7,0,1,0,0,0,1,1,0,0,0
16,open_redpen_1,0,1,1,0,0,2,1,0,0,1
17,mv_redpen_2,,,,,,,,,,,
18,mv_redpen_3,,,,,,,,,,,
19,use_measure_1,0,2,1,0,0,0,1,0,0,0
20,use_measure_2,0,2,1,0,0,1,1,0,0,0
21,use_measure_3,0,2,1,1,0,1,1,0,0,0
22,open_pen_4,0,1,1,1,0,2,0,0,0,1
23,open_mark_2,0,1,1,1,0,2,1,0,0,1
24,cut_blueberry_1,0,2,1,1,0,2,1,0,0,2
25,mv_brocolli_1,,,,,,,,,,,
26,cut_brocolli_2,0,1,1,1,0,1,0,0,0,1
27,break_brocolli_3,0,1,0,1,0,1,0,0,0,0
28,break_brocolli_4,0,1,1,1,0,1,1,0,0,0
29,cut&break_brocolli_5,0,0,1,1,0,1,1,0,0,0
30,cut_brocolli_6,0,1,0,2,0,1,1,0,0,1
31,cut_brocolli_7,0,1,0,2,0,1,0,0,0,2
32,mv_brocolli_8,,,,,,,,,,,
33,break_egg_1,1,1,0,2,0,1,0,0,1,0
34,mv_egg_2,,,,,,,,,,,
35,break_egg_3,0,0,1,2,0,1,1,0,1,0
36,mv_egg_4,,,,,,,,,,,
37,tear_pepper_1,0,0,1,1,0,1,0,0,0,0
38,mv_pepper_2,,,,,,,,,,,
39,mv_pepper_3,,,,,,,,,,,
40,tear_pepper_4,0,1,1,1,0,1,2,0,0,2
41,cut_pepper_5,0,0,1,2,0,1,1,0,0,2
42,cut_pepper_6,0,2,1,2,0,2,2,0,0,2
43,tear_green_pepper_1,0,1,0,1,0,1,1,0,0,0
44,cut_green_pepper_2,0,0,0,2,0,0,0,0,0,1
45,cut_green_pepper_3,0,1,0,1,0,0,0,0,0,0
46,cut_green_pepper_4,1,1,0,1,0,0,1,0,0,0
47,mv_green_pepper_5,,,,,,,,,,,
48,tear_green_pepper_6,0,1,1,1,0,1,0,0,0,0
49,clipoff_wood_1,0,2,1,1,1,0,0,0,0,1
50,clipoff_wood_2,0,2,2,1,1,1,0,1,0,1
51,disassemble_firework_1,0,0,1,2,0,0,1,2,0,1
52,assemble_firework_2,0,2,1,1,0,0,1,0,0,0
53,assemble_firework_3,0,0,1,1,0,1,1,0,0,1
54,cut_carrot_1,0,0,0,2,1,0,1,0,0,0
55,cut_carrot_2,0,0,1,2,1,0,1,0,0,1
56,cut_celery_1,0,1,0,1,1,0,1,0,0,1
57,cut_celery_2,0,0,1,2,1,0,1,0,0,1
58,cut_chili_pepper_1,0,1,1,1,1,0,1,0,0,0
59,cut_cucumber_1,0,0,0,1,1,1,2,0,0,1
60,cut_spinach_1,0,0,0,1,1,0,2,0,0,0
61,cut_spinach_2,0,0,2,1,1,0,2,0,0,0
62,peel_garlic_1,0,0,1,1,1,1,2,0,0,2
63,pull_noodles_1,0,0,1,1,1,0,1,0,0,0
64,knitting_sweater_1,0,2,1,0,2,0,1,0,0,1
65,knitting_sweater_2,0,2,0,0,2,0,2,0,0,1
66,knitting_sweater_3,0,2,0,0,2,0,2,2,0,1
67,knitting_sweater_4,0,2,0,0,2,0,1,2,0,1
68,knitting_sweater_5,0,2,0,0,2,0,1,2,0,1
69,shake_chemical_liquid_1,1,1,0,1,2,0,0,0,1,0
70,shake_chemical_liquid_2,1,1,0,0,2,0,0,0,0,0
71,shake_chemical_liquid_3,1,1,2,1,2,0,0,0,0,0
72,peel_electricwire_1,0,1,1,1,0,0,2,0,0,1
73,peel_electricwire_2,0,1,1,1,0,0,2,0,0,0
74,peel_electricwire_3,0,1,0,1,0,0,1,2,0,0
